,daily_order,weekly_order,daily_scale,weekly_scale,1d_rmse,1d_mape,3d_rmse,3d_mape,regressor_scale
0,2.0,2.0,10.0,10.0,1951.52407759209,0.13846687054215376,1872.3011898289526,0.13245231157622536,
1,2.0,3.0,10.0,10.0,1948.656636357539,0.13827931117209002,1869.1011628276594,0.13209408008544826,
2,3.0,2.0,10.0,10.0,1945.968976644138,0.138156438050547,1866.777865721747,0.13205823303950842,
3,3.0,3.0,10.0,10.0,1944.3096732919983,0.13805262642898303,1864.3558508812962,0.13176655691927305,
4,2.0,2.0,10.0,20.0,1950.966431963383,0.13847660054277616,1871.8600773444339,0.13243912106385985,
5,2.0,3.0,10.0,20.0,1949.1055061593702,0.13832078266707518,1869.677724230238,0.13214728904645184,
6,3.0,2.0,10.0,20.0,1946.9678362444643,0.13834526059454175,1867.3081412879162,0.13219712558502764,
7,3.0,3.0,10.0,20.0,1943.6244559681213,0.13803362964058588,1864.2290284664157,0.13178495798859868,
8,2.0,2.0,10.0,30.0,1950.8763546834934,0.13837116495020307,1871.6164411516868,0.13236222212445767,
9,2.0,3.0,10.0,30.0,1949.2237070714405,0.13830899033701818,1869.74103578696,0.13213526106810447,
